Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
93,tt1286146,2020-12-21,2020-12-21,,"The Eagle Path","The Eagle Path",https://www.imdb.com/title/tt1286146/,Movie,7.3,108,2010,"Action, Crime, Drama, Romance, Thriller",2251,2023-07-01,"Jean-Claude Van Damme",,
94,tt10016180,2020-12-28,2020-12-28,,"The Little Things","The Little Things",https://www.imdb.com/title/tt10016180/,Movie,6.3,128,2021,"Crime, Drama, Mystery, Thriller",140954,2021-01-29,"John Lee Hancock",,
95,tt1070874,2021-03-01,2021-03-01,,"The Trial of the Chicago 7","The Trial of the Chicago 7",https://www.imdb.com/title/tt1070874/,Movie,7.7,129,2020,"Drama, History, Thriller",204757,2020-10-16,"Aaron Sorkin",,
96,tt8265928,2021-04-11,2021-04-11,,"Love at Second Sight","Mon inconnue",https://www.imdb.com/title/tt8265928/,Movie,6.9,117,2019,"Comedy, Drama, Fantasy, Romance",7127,2019-04-03,"Hugo Gélin",,
97,tt3581652,2021-05-03,2021-05-03,,"West Side Story","West Side Story",https://www.imdb.com/title/tt3581652/,Movie,7.1,156,2021,"Crime, Drama, Musical, Romance",122264,2021-12-10,"Steven Spielberg",,
98,tt9620292,2021-06-08,2021-06-08,,"Promising Young Woman","Promising Young Woman",https://www.imdb.com/title/tt9620292/,Movie,7.5,113,2020,"Crime, Drama, Mystery, Thriller",253547,2020-12-25,"Emerald Fennell",,
99,tt7014006,2021-06-08,2021-06-08,,"Eighth Grade","Eighth Grade",https://www.imdb.com/title/tt7014006/,Movie,7.3,93,2018,"Comedy, Drama",86598,2018-08-03,"Bo Burnham",,
100,tt10687506,2021-09-24,2021-09-24,,"The Electrical Life of Louis Wain","The Electrical Life of Louis Wain",https://www.imdb.com/title/tt10687506/,Movie,6.8,111,2021,"Biography, Drama, History",23692,2021-11-05,"Will Sharpe",,
101,tt8847712,2021-09-25,2021-09-25,,"The French Dispatch","The French Dispatch of the Liberty, Kansas Evening Sun",https://www.imdb.com/title/tt8847712/,Movie,7.1,107,2021,"Comedy, Drama, Romance",166946,2021-10-22,"Wes Anderson",,
102,tt0274558,2021-10-25,2021-10-25,,"The Hours","The Hours",https://www.imdb.com/title/tt0274558/,Movie,7.5,114,2002,"Drama, Romance",146751,2003-02-14,"Stephen Daldry",,
103,tt11947248,2021-11-14,2021-11-14,,"The Shrink Next Door","The Shrink Next Door",https://www.imdb.com/title/tt11947248/,TV Series,7.1,,2021,"Biography, Comedy, Drama",17385,2021-11-12,,,
104,tt2543312,2021-11-17,2021-11-17,,"Halt and Catch Fire","Halt and Catch Fire",https://www.imdb.com/title/tt2543312/,TV Series,8.4,60,2014,"Drama",38078,2014-06-01,,,
